label,train_rmse,train_mae,train_r2,train_pcc,test_rmse,test_mae,test_r2,test_pcc
khopgnn_gcn_1,0.812 ± 0.102,0.342 ± 0.049,0.982 ± 0.005,0.991 ± 0.002,1.564 ± 0.382,0.669 ± 0.135,0.930 ± 0.032,0.965 ± 0.016
khopgnn_gcn_1_noedge,1.147 ± 0.116,0.576 ± 0.072,0.964 ± 0.007,0.982 ± 0.004,1.684 ± 0.292,0.858 ± 0.095,0.921 ± 0.026,0.961 ± 0.013
khopgnn_gcn_2,0.783 ± 0.130,0.336 ± 0.051,0.983 ± 0.006,0.992 ± 0.003,1.488 ± 0.357,0.647 ± 0.119,0.937 ± 0.030,0.968 ± 0.015
khopgnn_gcn_2_noedge,0.954 ± 0.135,0.427 ± 0.073,0.975 ± 0.007,0.988 ± 0.003,1.714 ± 0.342,0.817 ± 0.142,0.918 ± 0.029,0.959 ± 0.015
khopgnn_gcn_3,0.793 ± 0.145,0.335 ± 0.070,0.983 ± 0.006,0.991 ± 0.003,1.413 ± 0.301,0.615 ± 0.100,0.944 ± 0.022,0.972 ± 0.011
khopgnn_gcn_3_noedge,0.869 ± 0.117,0.384 ± 0.058,0.979 ± 0.006,0.990 ± 0.003,1.648 ± 0.392,0.773 ± 0.150,0.923 ± 0.033,0.962 ± 0.017
khopgnn_gin_1,0.820 ± 0.097,0.361 ± 0.047,0.982 ± 0.004,0.991 ± 0.002,1.605 ± 0.348,0.706 ± 0.122,0.928 ± 0.028,0.964 ± 0.014
khopgnn_gin_1_noedge,0.924 ± 0.126,0.444 ± 0.083,0.977 ± 0.007,0.988 ± 0.003,1.699 ± 0.300,0.852 ± 0.117,0.920 ± 0.026,0.960 ± 0.012
khopgnn_gin_2,0.711 ± 0.137,0.319 ± 0.067,0.986 ± 0.005,0.993 ± 0.003,1.506 ± 0.374,0.644 ± 0.124,0.936 ± 0.029,0.968 ± 0.014
khopgnn_gin_2_noedge,0.860 ± 0.086,0.386 ± 0.047,0.980 ± 0.004,0.990 ± 0.002,1.698 ± 0.288,0.817 ± 0.127,0.920 ± 0.025,0.960 ± 0.012
khopgnn_gin_3,0.742 ± 0.113,0.349 ± 0.061,0.985 ± 0.005,0.993 ± 0.002,1.449 ± 0.326,0.665 ± 0.094,0.941 ± 0.025,0.970 ± 0.013
khopgnn_gin_3_noedge,0.845 ± 0.116,0.382 ± 0.050,0.980 ± 0.005,0.990 ± 0.002,1.722 ± 0.290,0.817 ± 0.115,0.918 ± 0.024,0.960 ± 0.012
khopgnn_graphsage_1,0.892 ± 0.117,0.405 ± 0.068,0.978 ± 0.006,0.989 ± 0.003,1.579 ± 0.367,0.723 ± 0.135,0.929 ± 0.031,0.965 ± 0.016
khopgnn_graphsage_1_noedge,1.032 ± 0.132,0.522 ± 0.076,0.971 ± 0.007,0.985 ± 0.004,1.677 ± 0.283,0.877 ± 0.101,0.922 ± 0.026,0.961 ± 0.012
khopgnn_graphsage_2,0.725 ± 0.105,0.312 ± 0.050,0.986 ± 0.004,0.993 ± 0.002,1.540 ± 0.355,0.667 ± 0.121,0.933 ± 0.030,0.967 ± 0.014
khopgnn_graphsage_2_noedge,0.802 ± 0.125,0.383 ± 0.062,0.982 ± 0.006,0.991 ± 0.003,1.748 ± 0.407,0.859 ± 0.133,0.914 ± 0.039,0.957 ± 0.019
khopgnn_graphsage_3,0.726 ± 0.113,0.331 ± 0.059,0.985 ± 0.005,0.993 ± 0.002,1.463 ± 0.382,0.655 ± 0.134,0.939 ± 0.031,0.970 ± 0.015
khopgnn_graphsage_3_noedge,0.782 ± 0.134,0.380 ± 0.064,0.983 ± 0.006,0.992 ± 0.003,1.685 ± 0.384,0.830 ± 0.122,0.920 ± 0.036,0.960 ± 0.017
khopgnn_mpnn_1,0.829 ± 0.079,0.347 ± 0.049,0.981 ± 0.004,0.991 ± 0.002,1.540 ± 0.387,0.676 ± 0.136,0.932 ± 0.034,0.967 ± 0.016
khopgnn_mpnn_1_noedge,0.994 ± 0.161,0.482 ± 0.093,0.973 ± 0.009,0.987 ± 0.004,1.671 ± 0.350,0.827 ± 0.148,0.922 ± 0.031,0.962 ± 0.014
khopgnn_mpnn_2,0.710 ± 0.091,0.308 ± 0.046,0.986 ± 0.003,0.993 ± 0.002,1.474 ± 0.328,0.632 ± 0.106,0.939 ± 0.027,0.969 ± 0.013
khopgnn_mpnn_2_noedge,0.972 ± 0.096,0.455 ± 0.053,0.974 ± 0.005,0.987 ± 0.002,1.693 ± 0.315,0.813 ± 0.106,0.920 ± 0.027,0.960 ± 0.014
khopgnn_mpnn_3,0.722 ± 0.055,0.304 ± 0.032,0.986 ± 0.002,0.993 ± 0.001,1.474 ± 0.385,0.632 ± 0.107,0.938 ± 0.033,0.969 ± 0.016
khopgnn_mpnn_3_noedge,0.946 ± 0.254,0.440 ± 0.118,0.974 ± 0.015,0.987 ± 0.007,1.792 ± 0.380,0.854 ± 0.134,0.911 ± 0.030,0.956 ± 0.015
